dataset,feature_nature,feature_category,feature_names,feature_importances,window_size,clf_name,clf_params,accuracy,f1,precision,recall
fbk,1st-order,"['individual', 'organizational', 'ambient']","['individual_sleep', 'organizational_workload', 'organizational_control', 'ambient_temperature', 'ambient_humidity', 'ambient_precipitation', 'ambient_cloudcover', 'organizational_socialinteraction', 'individual_stress_tolerance', 'ambient_weekday', 'individual_prev_stress']","[0.05204785 0.15944356 0.1198981  0.05459582 0.07518985 0.00288819
 0.05237577 0.03280029 0.25286863 0.05657266 0.14131927]",1,RF,"{'n_estimators': 180, 'max_depth': 9, 'criterion': 'gini'}",0.7326823058737952,0.7263155498620246,0.7241403197039624,0.7326823058737952
fbk,1st-order,"['individual', 'organizational', 'ambient']","['individual_sleep', 'organizational_workload', 'organizational_control', 'ambient_temperature', 'ambient_humidity', 'ambient_precipitation', 'ambient_cloudcover', 'organizational_socialinteraction', 'individual_stress_tolerance', 'ambient_weekday', 'individual_prev_stress']","[0.04219287 0.14194621 0.10731091 0.04251384 0.04487902 0.0084497
 0.04743516 0.0439891  0.31729472 0.05648864 0.1474999 ]",1,xGB,"{'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.1}",0.7232805964720859,0.7208031541650546,0.7197305969039922,0.7232805964720859
fbk,2nd-order,"['individual', 'organizational', 'ambient']","['individual_sleep', 'organizational_workload', 'organizational_control', 'ambient_temperature', 'ambient_humidity', 'ambient_precipitation', 'ambient_cloudcover', 'organizational_socialinteraction', 'individual_stress_tolerance', 'ambient_weekday', 'organizational_workload_avg_2', 'organizational_workload_std_2', 'organizational_workload_max_2', 'organizational_workload_min_2', 'organizational_workload_delta_2', 'organizational_workload_var_2', 'organizational_control_avg_2', 'organizational_control_std_2', 'organizational_control_max_2', 'organizational_control_min_2', 'organizational_control_delta_2', 'organizational_control_var_2', 'organizational_socialinteraction_avg_2', 'organizational_socialinteraction_std_2', 'organizational_socialinteraction_min_2', 'organizational_socialinteraction_delta_2', 'organizational_socialinteraction_var_2', 'individual_sleep_avg_2', 'individual_sleep_std_2', 'individual_sleep_max_2', 'individual_sleep_delta_2', 'individual_sleep_var_2', 'ambient_temperature_avg_2', 'ambient_temperature_std_2', 'ambient_temperature_max_2', 'ambient_temperature_min_2', 'ambient_temperature_delta_2', 'ambient_temperature_var_2', 'ambient_precipitation_avg_2', 'ambient_precipitation_min_2', 'ambient_precipitation_delta_2', 'ambient_precipitation_var_2', 'ambient_humidity_avg_2', 'ambient_humidity_std_2', 'ambient_humidity_delta_2', 'ambient_humidity_var_2', 'ambient_cloudcover_std_2', 'ambient_cloudcover_delta_2', 'ambient_cloudcover_var_2', 'individual_prev_stress']","[0.01231472 0.06453369 0.05951766 0.01065584 0.01673275 0.00051574
 0.01302836 0.00793028 0.14294425 0.01508359 0.04931991 0.00927752
 0.03014334 0.03792549 0.02201328 0.00848069 0.03285413 0.0099908
 0.01947999 0.03330225 0.02655109 0.01112781 0.01028175 0.00749114
 0.00369281 0.01149387 0.00670717 0.01488629 0.00490339 0.01311539
 0.00697096 0.00420504 0.01390728 0.01340419 0.00796778 0.01406076
 0.01509481 0.01278541 0.00101035 0.         0.0016725  0.00134338
 0.02296274 0.01830854 0.02058409 0.01915796 0.01420282 0.01620058
 0.01298022 0.07688563]",2,RF,"{'n_estimators': 180, 'max_depth': 9, 'criterion': 'gini'}",0.736480686695279,0.7242422945745075,0.725852181687809,0.736480686695279
fbk,2nd-order,"['individual', 'organizational', 'ambient']","['individual_sleep', 'organizational_workload', 'organizational_control', 'ambient_temperature', 'ambient_humidity', 'ambient_precipitation', 'ambient_cloudcover', 'organizational_socialinteraction', 'individual_stress_tolerance', 'ambient_weekday', 'organizational_workload_avg_2', 'organizational_workload_std_2', 'organizational_workload_max_2', 'organizational_workload_min_2', 'organizational_workload_delta_2', 'organizational_workload_var_2', 'organizational_control_avg_2', 'organizational_control_std_2', 'organizational_control_max_2', 'organizational_control_min_2', 'organizational_control_delta_2', 'organizational_control_var_2', 'organizational_socialinteraction_avg_2', 'organizational_socialinteraction_std_2', 'organizational_socialinteraction_min_2', 'organizational_socialinteraction_delta_2', 'organizational_socialinteraction_var_2', 'individual_sleep_avg_2', 'individual_sleep_std_2', 'individual_sleep_max_2', 'individual_sleep_delta_2', 'individual_sleep_var_2', 'ambient_temperature_avg_2', 'ambient_temperature_std_2', 'ambient_temperature_max_2', 'ambient_temperature_min_2', 'ambient_temperature_delta_2', 'ambient_temperature_var_2', 'ambient_precipitation_avg_2', 'ambient_precipitation_min_2', 'ambient_precipitation_delta_2', 'ambient_precipitation_var_2', 'ambient_humidity_avg_2', 'ambient_humidity_std_2', 'ambient_humidity_delta_2', 'ambient_humidity_var_2', 'ambient_cloudcover_std_2', 'ambient_cloudcover_delta_2', 'ambient_cloudcover_var_2', 'individual_prev_stress']","[0.02609578 0.109656   0.07895545 0.01214577 0.01535402 0.00623547
 0.01829168 0.01623558 0.13779806 0.01438281 0.02439081 0.01326577
 0.01514428 0.04816166 0.01667766 0.         0.01433784 0.02722812
 0.02355927 0.02644206 0.02969351 0.         0.01554712 0.01921861
 0.00708351 0.01572156 0.         0.0133505  0.         0.0074726
 0.01368128 0.         0.01610211 0.01135448 0.0143732  0.0127493
 0.01433147 0.         0.00856276 0.         0.         0.
 0.01639174 0.01453475 0.01026993 0.         0.01108272 0.01364526
 0.         0.09047543]",2,xGB,"{'n_estimators': 180, 'max_depth': 2, 'learning_rate': 0.1}",0.7304721030042918,0.7218204418585451,0.7183867697810059,0.7304721030042918
fbk,2nd-order,"['individual', 'organizational', 'ambient']","['individual_sleep', 'organizational_workload', 'organizational_control', 'ambient_temperature', 'ambient_humidity', 'ambient_precipitation', 'ambient_cloudcover', 'organizational_socialinteraction', 'individual_stress_tolerance', 'ambient_weekday', 'organizational_workload_avg_3', 'organizational_workload_std_3', 'organizational_workload_max_3', 'organizational_workload_min_3', 'organizational_workload_delta_3', 'organizational_workload_var_3', 'organizational_control_avg_3', 'organizational_control_std_3', 'organizational_control_max_3', 'organizational_control_min_3', 'organizational_control_delta_3', 'organizational_control_var_3', 'organizational_socialinteraction_avg_3', 'organizational_socialinteraction_std_3', 'organizational_socialinteraction_min_3', 'organizational_socialinteraction_delta_3', 'organizational_socialinteraction_var_3', 'individual_sleep_avg_3', 'individual_sleep_std_3', 'individual_sleep_max_3', 'individual_sleep_min_3', 'individual_sleep_delta_3', 'individual_sleep_var_3', 'ambient_temperature_avg_3', 'ambient_temperature_std_3', 'ambient_temperature_max_3', 'ambient_temperature_min_3', 'ambient_temperature_delta_3', 'ambient_precipitation_avg_3', 'ambient_precipitation_min_3', 'ambient_precipitation_delta_3', 'ambient_precipitation_var_3', 'ambient_humidity_avg_3', 'ambient_humidity_std_3', 'ambient_humidity_max_3', 'ambient_humidity_delta_3', 'ambient_humidity_var_3', 'ambient_cloudcover_avg_3', 'ambient_cloudcover_std_3', 'ambient_cloudcover_min_3', 'ambient_cloudcover_delta_3', 'ambient_cloudcover_var_3', 'individual_stress_avg_3', 'individual_stress_std_3', 'individual_stress_max_3', 'individual_stress_min_3', 'individual_stress_delta_3', 'individual_stress_var_3', 'individual_prev_stress']","[0.00746443 0.04943927 0.04327632 0.01103621 0.01248609 0.00037333
 0.00740292 0.00546488 0.11620558 0.01025517 0.03377201 0.01300093
 0.0181095  0.03083688 0.02632748 0.01283155 0.02282031 0.01106226
 0.01105831 0.01777866 0.02587459 0.0108024  0.0078174  0.00760335
 0.00153613 0.00898104 0.00824475 0.01313953 0.00566243 0.00871584
 0.00766529 0.00731122 0.00549237 0.01477981 0.01110733 0.00589438
 0.0129735  0.01467898 0.0011841  0.         0.00083125 0.0012407
 0.01662767 0.01454144 0.01283424 0.01653957 0.01463742 0.01335833
 0.0140867  0.00678767 0.01448218 0.01253443 0.06641903 0.00700637
 0.06041743 0.03376289 0.00801734 0.00864852 0.03676026]",3,RF,"{'n_estimators': 180, 'max_depth': 9, 'criterion': 'gini'}",0.7202082400358262,0.708089805587054,0.7076755238996668,0.7202082400358262
fbk,2nd-order,"['individual', 'organizational', 'ambient']","['individual_sleep', 'organizational_workload', 'organizational_control', 'ambient_temperature', 'ambient_humidity', 'ambient_precipitation', 'ambient_cloudcover', 'organizational_socialinteraction', 'individual_stress_tolerance', 'ambient_weekday', 'organizational_workload_avg_3', 'organizational_workload_std_3', 'organizational_workload_max_3', 'organizational_workload_min_3', 'organizational_workload_delta_3', 'organizational_workload_var_3', 'organizational_control_avg_3', 'organizational_control_std_3', 'organizational_control_max_3', 'organizational_control_min_3', 'organizational_control_delta_3', 'organizational_control_var_3', 'organizational_socialinteraction_avg_3', 'organizational_socialinteraction_std_3', 'organizational_socialinteraction_min_3', 'organizational_socialinteraction_delta_3', 'organizational_socialinteraction_var_3', 'individual_sleep_avg_3', 'individual_sleep_std_3', 'individual_sleep_max_3', 'individual_sleep_min_3', 'individual_sleep_delta_3', 'individual_sleep_var_3', 'ambient_temperature_avg_3', 'ambient_temperature_std_3', 'ambient_temperature_max_3', 'ambient_temperature_min_3', 'ambient_temperature_delta_3', 'ambient_precipitation_avg_3', 'ambient_precipitation_min_3', 'ambient_precipitation_delta_3', 'ambient_precipitation_var_3', 'ambient_humidity_avg_3', 'ambient_humidity_std_3', 'ambient_humidity_max_3', 'ambient_humidity_delta_3', 'ambient_humidity_var_3', 'ambient_cloudcover_avg_3', 'ambient_cloudcover_std_3', 'ambient_cloudcover_min_3', 'ambient_cloudcover_delta_3', 'ambient_cloudcover_var_3', 'individual_stress_avg_3', 'individual_stress_std_3', 'individual_stress_max_3', 'individual_stress_min_3', 'individual_stress_delta_3', 'individual_stress_var_3', 'individual_prev_stress']","[0.01153784 0.05410943 0.03299813 0.01308689 0.01279705 0.00849625
 0.01047362 0.0097646  0.12520224 0.01727204 0.01469176 0.01773047
 0.0097625  0.02857734 0.01796447 0.         0.01867175 0.01273694
 0.01615686 0.01100822 0.02452514 0.         0.01116808 0.01265211
 0.01412431 0.00883954 0.         0.01528919 0.01444547 0.0196957
 0.01438685 0.01551825 0.         0.01247462 0.01495725 0.01124265
 0.01213956 0.01243077 0.00662709 0.         0.01492228 0.
 0.01347461 0.01073457 0.0134268  0.0107419  0.         0.01263329
 0.01017834 0.01418701 0.01293065 0.         0.04068904 0.01272749
 0.13199608 0.00873759 0.00858305 0.         0.02048222]",3,xGB,"{'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1}",0.7417674279743245,0.7377247202357221,0.737321469073476,0.7417674279743245
fbk,2nd-order,"['individual', 'organizational', 'ambient']","['individual_sleep', 'organizational_workload', 'organizational_control', 'ambient_temperature', 'ambient_humidity', 'ambient_precipitation', 'ambient_cloudcover', 'organizational_socialinteraction', 'individual_stress_tolerance', 'ambient_weekday', 'organizational_workload_avg_4', 'organizational_workload_std_4', 'organizational_workload_max_4', 'organizational_workload_min_4', 'organizational_workload_delta_4', 'organizational_workload_var_4', 'organizational_control_avg_4', 'organizational_control_std_4', 'organizational_control_max_4', 'organizational_control_min_4', 'organizational_control_delta_4', 'organizational_control_var_4', 'organizational_socialinteraction_avg_4', 'organizational_socialinteraction_std_4', 'organizational_socialinteraction_min_4', 'organizational_socialinteraction_delta_4', 'organizational_socialinteraction_var_4', 'individual_sleep_avg_4', 'individual_sleep_std_4', 'individual_sleep_max_4', 'individual_sleep_min_4', 'individual_sleep_delta_4', 'individual_sleep_var_4', 'ambient_temperature_avg_4', 'ambient_temperature_std_4', 'ambient_temperature_max_4', 'ambient_temperature_min_4', 'ambient_temperature_delta_4', 'ambient_precipitation_avg_4', 'ambient_precipitation_min_4', 'ambient_precipitation_delta_4', 'ambient_precipitation_var_4', 'ambient_humidity_avg_4', 'ambient_humidity_std_4', 'ambient_humidity_max_4', 'ambient_humidity_min_4', 'ambient_humidity_delta_4', 'ambient_humidity_var_4', 'ambient_cloudcover_avg_4', 'ambient_cloudcover_std_4', 'ambient_cloudcover_max_4', 'ambient_cloudcover_min_4', 'ambient_cloudcover_delta_4', 'ambient_cloudcover_var_4', 'individual_stress_avg_4', 'individual_stress_std_4', 'individual_stress_max_4', 'individual_stress_min_4', 'individual_stress_delta_4', 'individual_stress_var_4', 'individual_prev_stress']","[0.00906062 0.04208201 0.03649186 0.00808634 0.01209119 0.00023193
 0.00707543 0.00520435 0.09662255 0.00978312 0.03211935 0.0153411
 0.01226146 0.02073858 0.01622753 0.01391258 0.01940068 0.0131398
 0.0108274  0.01456967 0.02113259 0.01239279 0.00783685 0.00897527
 0.00093979 0.00643386 0.00792089 0.01569399 0.00816158 0.01034987
 0.0088886  0.00853725 0.01003534 0.01423461 0.01219964 0.00525625
 0.01132921 0.01167824 0.00142641 0.         0.00046456 0.00111653
 0.01608118 0.01503558 0.01001526 0.0113297  0.01531372 0.01553421
 0.01420688 0.01472167 0.00851027 0.00597685 0.01391126 0.01408207
 0.08144041 0.01024037 0.05133937 0.03743769 0.00997818 0.01086294
 0.06371072]",4,RF,"{'n_estimators': 180, 'max_depth': 9, 'criterion': 'gini'}",0.7461904761904762,0.7385531044904815,0.7397476495211514,0.7461904761904762
fbk,2nd-order,"['individual', 'organizational', 'ambient']","['individual_sleep', 'organizational_workload', 'organizational_control', 'ambient_temperature', 'ambient_humidity', 'ambient_precipitation', 'ambient_cloudcover', 'organizational_socialinteraction', 'individual_stress_tolerance', 'ambient_weekday', 'organizational_workload_avg_4', 'organizational_workload_std_4', 'organizational_workload_max_4', 'organizational_workload_min_4', 'organizational_workload_delta_4', 'organizational_workload_var_4', 'organizational_control_avg_4', 'organizational_control_std_4', 'organizational_control_max_4', 'organizational_control_min_4', 'organizational_control_delta_4', 'organizational_control_var_4', 'organizational_socialinteraction_avg_4', 'organizational_socialinteraction_std_4', 'organizational_socialinteraction_min_4', 'organizational_socialinteraction_delta_4', 'organizational_socialinteraction_var_4', 'individual_sleep_avg_4', 'individual_sleep_std_4', 'individual_sleep_max_4', 'individual_sleep_min_4', 'individual_sleep_delta_4', 'individual_sleep_var_4', 'ambient_temperature_avg_4', 'ambient_temperature_std_4', 'ambient_temperature_max_4', 'ambient_temperature_min_4', 'ambient_temperature_delta_4', 'ambient_precipitation_avg_4', 'ambient_precipitation_min_4', 'ambient_precipitation_delta_4', 'ambient_precipitation_var_4', 'ambient_humidity_avg_4', 'ambient_humidity_std_4', 'ambient_humidity_max_4', 'ambient_humidity_min_4', 'ambient_humidity_delta_4', 'ambient_humidity_var_4', 'ambient_cloudcover_avg_4', 'ambient_cloudcover_std_4', 'ambient_cloudcover_max_4', 'ambient_cloudcover_min_4', 'ambient_cloudcover_delta_4', 'ambient_cloudcover_var_4', 'individual_stress_avg_4', 'individual_stress_std_4', 'individual_stress_max_4', 'individual_stress_min_4', 'individual_stress_delta_4', 'individual_stress_var_4', 'individual_prev_stress']","[0.01531238 0.03690317 0.02459532 0.01162237 0.01136817 0.01061924
 0.01130104 0.01101121 0.13210376 0.01660645 0.01683132 0.0171328
 0.01882613 0.02006399 0.0125324  0.         0.02020021 0.01486117
 0.01427276 0.02859413 0.02128002 0.         0.01106129 0.01409782
 0.00891249 0.00936302 0.         0.01351478 0.02476796 0.02068923
 0.01188909 0.01187049 0.         0.01332686 0.009374   0.01292195
 0.01728876 0.01043119 0.00622824 0.         0.00563793 0.
 0.01398081 0.01312345 0.01697966 0.02284577 0.01122144 0.
 0.01388987 0.0115842  0.02074808 0.0158048  0.01402844 0.
 0.08183344 0.01174623 0.01065423 0.00974508 0.01324002 0.
 0.05116127]",4,xGB,"{'n_estimators': 140, 'max_depth': 6, 'learning_rate': 0.05}",0.747968253968254,0.7451592905232307,0.7459697279726563,0.747968253968254
fbk,2nd-order,"['individual', 'organizational', 'ambient']","['individual_sleep', 'organizational_workload', 'organizational_control', 'ambient_temperature', 'ambient_humidity', 'ambient_precipitation', 'ambient_cloudcover', 'organizational_socialinteraction', 'individual_stress_tolerance', 'ambient_weekday', 'organizational_workload_avg_5', 'organizational_workload_std_5', 'organizational_workload_max_5', 'organizational_workload_min_5', 'organizational_workload_delta_5', 'organizational_workload_var_5', 'organizational_control_avg_5', 'organizational_control_std_5', 'organizational_control_max_5', 'organizational_control_min_5', 'organizational_control_delta_5', 'organizational_control_var_5', 'organizational_socialinteraction_avg_5', 'organizational_socialinteraction_std_5', 'organizational_socialinteraction_min_5', 'organizational_socialinteraction_delta_5', 'organizational_socialinteraction_var_5', 'individual_sleep_avg_5', 'individual_sleep_std_5', 'individual_sleep_max_5', 'individual_sleep_min_5', 'individual_sleep_delta_5', 'individual_sleep_var_5', 'ambient_temperature_avg_5', 'ambient_temperature_std_5', 'ambient_temperature_max_5', 'ambient_temperature_min_5', 'ambient_temperature_delta_5', 'ambient_precipitation_avg_5', 'ambient_precipitation_min_5', 'ambient_precipitation_delta_5', 'ambient_precipitation_var_5', 'ambient_humidity_avg_5', 'ambient_humidity_std_5', 'ambient_humidity_max_5', 'ambient_humidity_min_5', 'ambient_humidity_delta_5', 'ambient_cloudcover_avg_5', 'ambient_cloudcover_std_5', 'ambient_cloudcover_max_5', 'ambient_cloudcover_min_5', 'ambient_cloudcover_delta_5', 'ambient_cloudcover_var_5', 'individual_stress_avg_5', 'individual_stress_std_5', 'individual_stress_max_5', 'individual_stress_min_5', 'individual_stress_delta_5', 'individual_stress_var_5', 'individual_prev_stress']","[0.00929569 0.04402417 0.03221421 0.00709011 0.01077691 0.00057109
 0.0073645  0.00396245 0.10125114 0.00900802 0.03504636 0.0164577
 0.01366112 0.02348182 0.02262079 0.01710075 0.01731182 0.01274847
 0.00602237 0.01328883 0.02066319 0.01506484 0.00942299 0.01106644
 0.00073287 0.00841421 0.01085291 0.01540142 0.00720973 0.00979204
 0.00832985 0.00728404 0.00766969 0.01511768 0.01383336 0.00596858
 0.00891156 0.01379525 0.00110889 0.         0.00066462 0.00084003
 0.01870631 0.01775565 0.00883198 0.01388289 0.01591094 0.01467977
 0.01360656 0.00937064 0.00722717 0.01244817 0.01507889 0.09620429
 0.01731983 0.03453058 0.02563837 0.01033989 0.0165455  0.05648007]",5,RF,"{'n_estimators': 180, 'max_depth': 9, 'criterion': 'gini'}",0.7548869223205507,0.7487146601009453,0.7479678177777543,0.7548869223205507
fbk,2nd-order,"['individual', 'organizational', 'ambient']","['individual_sleep', 'organizational_workload', 'organizational_control', 'ambient_temperature', 'ambient_humidity', 'ambient_precipitation', 'ambient_cloudcover', 'organizational_socialinteraction', 'individual_stress_tolerance', 'ambient_weekday', 'organizational_workload_avg_5', 'organizational_workload_std_5', 'organizational_workload_max_5', 'organizational_workload_min_5', 'organizational_workload_delta_5', 'organizational_workload_var_5', 'organizational_control_avg_5', 'organizational_control_std_5', 'organizational_control_max_5', 'organizational_control_min_5', 'organizational_control_delta_5', 'organizational_control_var_5', 'organizational_socialinteraction_avg_5', 'organizational_socialinteraction_std_5', 'organizational_socialinteraction_min_5', 'organizational_socialinteraction_delta_5', 'organizational_socialinteraction_var_5', 'individual_sleep_avg_5', 'individual_sleep_std_5', 'individual_sleep_max_5', 'individual_sleep_min_5', 'individual_sleep_delta_5', 'individual_sleep_var_5', 'ambient_temperature_avg_5', 'ambient_temperature_std_5', 'ambient_temperature_max_5', 'ambient_temperature_min_5', 'ambient_temperature_delta_5', 'ambient_precipitation_avg_5', 'ambient_precipitation_min_5', 'ambient_precipitation_delta_5', 'ambient_precipitation_var_5', 'ambient_humidity_avg_5', 'ambient_humidity_std_5', 'ambient_humidity_max_5', 'ambient_humidity_min_5', 'ambient_humidity_delta_5', 'ambient_cloudcover_avg_5', 'ambient_cloudcover_std_5', 'ambient_cloudcover_max_5', 'ambient_cloudcover_min_5', 'ambient_cloudcover_delta_5', 'ambient_cloudcover_var_5', 'individual_stress_avg_5', 'individual_stress_std_5', 'individual_stress_max_5', 'individual_stress_min_5', 'individual_stress_delta_5', 'individual_stress_var_5', 'individual_prev_stress']","[0.01219571 0.05079024 0.02652854 0.00895522 0.01221188 0.00888271
 0.01382807 0.00874644 0.14672464 0.01318082 0.0149162  0.01437655
 0.01741306 0.01364758 0.01814525 0.         0.01181035 0.01415803
 0.01664434 0.01127243 0.02664251 0.         0.01580048 0.01446622
